NOMBRE_EMP,NOMBRE_FAE,REGIÓN_IN,PROVINCIA,COMUNA_INS,NOMBRE_INS,TIPO_INSTA,RECOBRERSO,UTM_NORTE,UTM_ESTE,ESTADO_INS,METODO_CONS,NEAR_DIST,VOL_AUTORIZADO,VOL_ACTUAL,TON_AUTORIZADO,TON_ACTUAL,RES_APRUEBA,RES_PDC_APRUEBA,RES_PDC_FECHA,RES_APRUEBA_FECHA,latitud,longitud,lat_lon_pair
MINERA MICHILLA S.A.,MICHILLA,II,ANTOFAGASTA,MEJILLONES,MICHILLA,TRANQUE DE RELAVE,COBRE,7484415.79769999,367800.540599999,INACTIVO,,72667.2722086363,30000.0,0.0,43500.0,0.0,655,25,2009-01-12 00:00:00,1994-09-30 00:00:00,-22.742454,-70.287477,"-22.742454, -70.287477"
ENAMI,PLANTA JOSE ANTONIO MORENO,II,ANTOFAGASTA,TALTAL,EMBALSE DE RELAVE,EMBALSE,COBRE,7191152.28809999,353701.0382,INACTIVO,EMBALSE,107269.096113378,105000.0,108919.0,157500.0,163379.0,1483,1530,2015-06-04 00:00:00,2012-12-11 00:00:00,-25.389264,-70.454317,"-25.389264, -70.454317"
CMC SALI HOCHSCHILD S.A.,BODEGA ALTO,III,COPIAPO,COPIAPO,DEPOSITO DE RELAVE 3,TRANQUE DE RELAVE,COBRE-ORO,6973741.22479999,365002.7657,INACTIVO,N_A,3022.95580362544,3115875.0,0.0,4673812.0,0.0,1969,,,1970-11-02 00:00:00,-27.352871,-70.364862,"-27.352871, -70.364862"
ALVARO MARIÂN AMENABAR,PLANTA LOS LEONES,IV,ELQUI,ANDACOLLO,LOS LEONES 1,TRANQUE DE RELAVE,ORO,6654315.3272,302324.708999999,ABANDONADO,AGUAS ARRIBA,5068.53310159719,75870.0,0.0,113805.0,0.0,209,N_A,N_A,1986-02-07 00:00:00,-30.226650,-71.054025,"-30.226650, -71.054025"
A. SILVA,PLANTA SILVA,IV,ELQUI,ANDACOLLO,SILVA,TRANQUE DE RELAVE,ORO,6654404.2817,299073.9263,INACTIVO,,3355.69313410983,10556.0,0.0,15834.0,0.0,S/I,,,S/I,-30.225314,-71.087768,"-30.225314, -71.087768"
MINERA ARENILLAS,PLANTA PALMIRA,IV,ELQUI,ANDACOLLO,PALMIRA 2,TRANQUE DE RELAVE,ORO,6654425.41,299623.67,INACTIVO,AGUAS ARRIBA,3318.42796409743,96000.0,0.0,144000.0,0.0,530,N_A,N_A,1988-05-16 00:00:00,-30.225214,-71.082055,"-30.225214, -71.082055"
SUC. GODOY ALBALLAY (EX SANTIAGO AGUILERA),PLANTA SAN JUAN,IV,ELQUI,ANDACOLLO,SAN JUAN ,TRANQUE DE RELAVE,ORO,6652571.55759999,298920.479199999,INACTIVO,AGUAS ARRIBA,1546.1849021199,159500.0,0.0,239250.0,0.0,273,N_A,N_A,1987-03-13 00:00:00,-30.241817,-71.089711,"-30.241817, -71.089711"
"PIZARRO, GUERRA Y CIA. (WILSON PIZARRO GUERRA)",PLANTA IRENE,IV,ELQUI,ANDACOLLO,IRENE 2,TRANQUE DE RELAVE,ORO,6654276.2422,300686.2838,INACTIVO,AGUAS ARRIBA,3903.43514048284,18000.0,0.0,27000.0,0.0,S/I,,,S/I,-30.226734,-71.071048,"-30.226734, -71.071048"
WALTER MUÃ‘OZ TABILO,PLANTA LOS LITRES,IV,ELQUI,ANDACOLLO,LOS LITRES 1-2,TRANQUE DE RELAVE,ORO,6654929.3852,297966.914599999,INACTIVO,AGUAS ARRIBA,3834.17940583866,17077.0,0.0,24761.0,0.0,194,N_A,N_A,1987-02-20 00:00:00,-30.220395,-71.099164,"-30.220395, -71.099164"
DARIO CORTES,PLANTA PUNTA CALETONES,IV,ELQUI,ANDACOLLO,PUNTA CALETONES 4,TRANQUE DE RELAVE,COBRE-ORO,6654650.60439999,300275.1671,INACTIVO,,4002.87538743768,194000.0,0.0,281300.0,0.0,584,N_A,N_A,1988-06-06 00:00:00,-30.223291,-71.075247,"-30.223291, -71.075247"
EDUARDO MUÃ‘OZ R.,"PLANTA AZULINA, NUEVA ESPERANZA, RENACIMIENTO",IV,ELQUI,ANDACOLLO,NUEVA ESPERANZA 2A,TRANQUE DE RELAVE,ORO,6650914.98649999,300195.682099999,INACTIVO,AGUAS ARRIBA,1815.88790007164,113000.0,0.0,163850.0,0.0,722,N_A,N_A,1983-07-05 00:00:00,-30.256967,-71.076781,"-30.256967, -71.076781"
YOLANDA BOU BARRAZA,PLANTA ROSARIO DE COGOTI,IV,LIMARI,COMBARBALA,ROSARIO 1,TRANQUE DE RELAVE,COBRE,6558185.47589999,316920.653599999,INACTIVO,,12075.4387363999,2400.0,0.0,3600.0,0.0,S/I,,,S/I,-31.095901,-70.919498,"-31.095901, -70.919498"
YOLANDA BOU BARRAZA,PLANTA ROSARIO DE COGOTI,IV,LIMARI,COMBARBALA,TRANQUE EMERGENCIA,TRANQUE DE RELAVE,COBRE,6558100.14769999,316821.4346,INACTIVO,,11945.9877491717,1780.0,0.0,2670.0,0.0,S/I,,,S/I,-31.096655,-70.920553,"-31.096655, -70.920553"
FREDDY ROJAS VERGARA,PLANTA PRINCESA Y ANDRONICA,IV,ELQUI,ANDACOLLO,PRINCESA Y ANDRONICA 4,TRANQUE DE RELAVE,ORO-COBRE-PLATA,6654864.82519999,297129.234899999,INACTIVO,EJE CENTRAL,3952.93774007195,93650.0,0.0,140475.0,0.0,775,N_A,N_A,1987-08-28 00:00:00,-30.220837,-71.107875,"-30.220837, -71.107875"
MINERA ARENILLAS,PLANTA PALMIRA,IV,ELQUI,ANDACOLLO,ACOPIO DE RELAVES PALMIRA,,COBRE-ORO,6654541.0,299718.0,INACTIVO,S/I,,,0.0,,,S/I,,,,-30.224187,-71.081054,"-30.224187, -71.081054"
ALTIPLANO MINERALS CHILE SPA,WILSON AQUILES,IV,ELQUI,ANDACOLLO,ACOPIO DE RELAVES WILSON AQUILES,,COBRE-ORO,6665379.73,287100.32,INACTIVO,S/I,,,0.0,,,S/I,,,,-30.124301,-71.209897,"-30.124301, -71.209897"
HORACIO TAPIA,PLANTA BUFALO (EX PLANTA TAPIA),IV,ELQUI,ANDACOLLO,TRANQUE DE RELAVE,TRANQUE DE RELAVE,ORO,6653825.7542,302032.9062,ABANDONADO,,4537.55137548201,59100.0,0.0,88650.0,0.0,S/I,,,S/I,-30.231018,-71.057148,"-30.231018, -71.057148"
